Commodity,Value Counts
"BEDDING PLANTS, ANNUAL",1760
WHEAT,1178
HAY,1098
CORN,853
POTATOES,766
"FLOWERING PLANTS, POTTED",730
"BEDDING PLANTS, HERBACEOUS PERENNIAL",671
TOBACCO,599
BEANS,521
VEGETABLE TOTALS,505
SOYBEANS,470
OATS,425
HAYLAGE,424
SWEET CORN,402
FOLIAGE PLANTS,365
BARLEY,356
PROPAGATIVE MATERIAL,327
PEAS,323
HORTICULTURE TOTALS,296
MINT,261
CUT FLOWERS,250
HAY & HAYLAGE,241
RYE,203
CUT CHRISTMAS TREES,200
STRAWBERRIES,178
APPLES,171
ONIONS,167
CHERRIES,166
CARROTS,159
CUCUMBERS,147
DECIDUOUS SHADE TREES,143
MAPLE SYRUP,138
CROP TOTALS,138
CABBAGE,129
"EVERGREENS, CONIFEROUS",116
DECIDUOUS FLOWERING TREES,116
DECIDUOUS SHRUBS,105
"EVERGREENS, BROADLEAF",103
BERRY TOTALS,88
MELONS,69
SORGHUM,67
FRUIT & NUT PLANTS,62
TRANSPLANTS,56
SQUASH,53
SOD,53
"WOODY ORNAMENTALS & VINES, OTHER",53
CRANBERRIES,52
SUNFLOWER,50
LETTUCE,48
FIELD CROP TOTALS,47
"FIELD CROPS, OTHER",45
CUT CULTIVATED GREENS,45
FLOWER SEEDS,44
NURSERY TOTALS,42
PEPPERS,40
ORCHARDS,40
FLAXSEED,37
FLORICULTURE TOTALS,34
TOMATOES,34
HERBS,33
GREENS,32
BEETS,30
PLUMS & PRUNES,29
PEARS,29
GRAPES,29
GRAIN,28
BLUEBERRIES,27
SHORT TERM WOODY CROPS,26
LEGUMES,26
POPCORN,25
BLACKBERRIES,25
RASPBERRIES,25
CELERY,25
"VEGETABLES, OTHER",25
"BERRIES, OTHER",25
CAULIFLOWER,23
SPINACH,23
CUT CHRISTMAS TREES & SHORT TERM WOODY CROPS,23
BROCCOLI,23
BULBS & CORMS & RHIZOMES & TUBERS,23
FRUIT & TREE NUT TOTALS,23
GARLIC,21
AQUATIC PLANTS,21
"TREE NUTS, OTHER",21
MUSHROOMS,20
VEGETABLE SEEDS,19
BUCKWHEAT,19
SWEET POTATOES,19
TREE NUT TOTALS,18
ORNAMENTAL GRASSES,17
HAZELNUTS,16
BEDDING PLANT TOTALS,16
FRUIT TOTALS,16
"GRASSES & LEGUMES, OTHER",15
FOOD CROP TOTALS,15
APRICOTS,14
GINSENG,14
WALNUTS,14
PEACHES,14
CUT FLOWERS & CUT CULTIVATED GREENS,14
GRASSES & LEGUMES TOTALS,12
NON-CITRUS TOTALS,12
PECANS,12
NECTARINES,12
"NURSERY, OTHER",12
GRASSES,11
CANOLA,11
PEAS & LENTILS,10
WILD RICE,10
RADISHES,10
MILLET,10
"FRUIT, OTHER",10
BAREROOT HERBACEOUS PERENNIALS,9
TRITICALE,9
CURRANTS,8
PUMPKINS,8
ASPARAGUS,8
TURNIPS,8
SUGARBEETS,8
BRUSSELS SPROUTS,8
RHUBARB,8
"HORTICULTURE, OTHER",8
EGGPLANT,8
"FOOD CROP, OTHER",7
NON-CITRUS FRUIT & TREE NUTS TOTALS,7
EMMER & SPELT,6
OKRA,6
HORSERADISH,6
"FLORICULTURE, OTHER",5
"NON-CITRUS, OTHER",4
PARSLEY,4
ESCAROLE & ENDIVE,4
CHESTNUTS,4
DAIKON,4
"VEGETABLES, MIXED",4
LOGANBERRIES,4
BOYSENBERRIES,4
AMARANTH,3
MUSHROOM SPAWN,2
