state,filename
CA,California_1960+2009_Annual+Crop+Data.csv
IL,Illinois_1960+2009_Annual+Crop+Data.csv
IN,Indiana_1960+2009_Annual+Crop+Data.csv
IA,Iowa_1960+2009_Annual+Crop+Data.csv
KS,Kansas_1960+2009_Annual+Crop+Data.csv
MI,Michigan_1960+2009_Annual+Crop+Data.csv
MN,Minnesota_1960+2009_Annual+Crop+Data.csv
MS,Missouri_1960+2009_Annual+Crop+Data.csv
NE,Nebraska_1960+2009_Annual+Crop+Data.csv
ND,NorthDakota_1960+2009_Annual+Crop+Data.csv
OH,Ohio_1960+2009_Annual+Crop+Data.csv
SD,SouthDakota_1960+2009_Annual+Crop+Data.csv
WI,Wisconsin_1960+2009_Annual+Crop+Data.csv
